NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.313,0.313,19.020,19.020,0.852,0.852,0.007,0.007
2,0.304,0.137,19.117,24.020,0.850,0.879,0.010,0.540
3,0.221,0.135,22.401,24.277,0.856,0.878,0.409,0.556
4,0.136,0.131,24.330,24.899,0.878,0.878,0.583,0.608
5,0.119,0.111,25.645,26.471,0.879,0.893,0.647,0.715
6,0.119,0.102,25.664,27.007,0.880,0.900,0.647,0.745
7,0.113,0.100,25.863,27.105,0.882,0.901,0.660,0.744
8,0.107,0.097,26.515,27.323,0.890,0.902,0.700,0.750
9,0.107,0.096,26.535,27.341,0.889,0.903,0.701,0.750
10,0.106,0.095,26.562,27.433,0.890,0.902,0.702,0.751
11,0.106,0.094,26.579,27.515,0.890,0.900,0.703,0.755
12,0.097,0.092,27.112,27.678,0.895,0.901,0.735,0.760
13,0.096,0.089,27.209,28.127,0.896,0.906,0.740,0.781
14,0.095,0.089,27.284,28.162,0.898,0.906,0.746,0.783
15,0.095,0.088,27.289,28.270,0.898,0.906,0.746,0.787
16,0.092,0.088,27.551,28.332,0.901,0.906,0.760,0.789
17,0.092,0.088,27.562,28.362,0.902,0.907,0.761,0.792
18,0.092,0.088,27.566,28.378,0.902,0.907,0.761,0.794
19,0.092,0.087,27.570,28.441,0.902,0.908,0.761,0.797
20,0.091,0.079,27.580,29.176,0.903,0.912,0.759,0.831
